timestamp,load_mw,temp_c,humidity,wind_ms,rain_mm,load_stress_index,rain_stress_index,wind_stress_index,feeder_congestion_index,voltage_drop_index,maintenance_flag,neighbor_outage_reports,transformer_age_years,payment_day_flag,reserve_margin_index,fuel_supply_risk_index,hydro_inflow_stress_index,vegetation_risk_index,protection_miscoordination_index,scada_telecom_risk_index,non_technical_loss_index,asset_health_index,der_backup_risk_index,primary_outage_driver,outage,duration_min
2025-04-23 00:00:00,38.388,19.84,48.7,2.25,0.0,0.0,0.0,0.0,0.134,0.007,0,0,8.9,0,0.0,0.146,0.0,0.2,0.085,0.05,0.108,0.511,0.173,routine_load,0,0.0
2025-04-23 01:00:00,38.231,19.31,80.76,2.28,3.18,0.0,0.177,0.0,0.112,0.102,0,0,9.2,0,0.0,0.311,0.0,0.262,0.159,0.101,0.165,0.546,0.195,routine_load,0,0.0
2025-04-23 02:00:00,37.165,19.55,63.73,2.52,0.0,0.0,0.0,0.0,0.181,0.0,0,0,9.0,0,0.035,0.073,0.014,0.2,0.112,0.11,0.188,0.523,0.074,routine_load,0,0.0
2025-04-23 03:00:00,36.132,19.0,68.68,4.66,0.0,0.0,0.0,0.474,0.076,0.191,0,0,8.7,0,0.0,0.202,0.0,0.318,0.071,0.07,0.203,0.528,0.109,wind_stress,0,0.0
2025-04-23 04:00:00,39.03,20.55,83.08,1.99,2.9,0.0,0.161,0.0,0.226,0.094,0,0,8.6,0,0.129,0.156,0.077,0.256,0.155,0.067,0.072,0.523,0.114,routine_load,0,0.0
2025-04-23 05:00:00,37.111,20.09,60.82,2.42,0.0,0.0,0.0,0.0,0.183,0.108,0,0,8.9,0,0.061,0.256,0.046,0.2,0.204,0.062,0.212,0.536,0.148,routine_load,0,0.0
2025-04-23 06:00:00,46.425,21.93,55.77,4.12,0.0,0.0,0.0,0.321,0.31,0.165,0,0,8.4,0,0.0,0.203,0.0,0.28,0.168,0.056,0.214,0.531,0.181,routine_load,0,0.0
2025-04-23 07:00:00,48.775,23.89,65.66,4.04,0.0,0.043,0.0,0.296,0.232,0.18,0,0,8.8,0,0.08,0.153,0.0,0.274,0.152,0.14,0.181,0.548,0.204,routine_load,0,0.0
2025-04-23 08:00:00,49.339,25.35,85.25,2.52,1.48,0.074,0.082,0.0,0.235,0.276,0,0,8.8,0,0.018,0.217,0.0,0.229,0.097,0.061,0.139,0.569,0.142,routine_load,0,0.0
2025-04-23 09:00:00,51.792,27.35,71.21,1.78,0.37,0.211,0.021,0.0,0.415,0.109,0,0,9.5,0,0.092,0.278,0.0,0.207,0.295,0.055,0.258,0.598,0.161,routine_load,0,0.0
